Date,Period,consumption_type,value
20180520,1,INDO,21568
20180520,2,INDO,20718
20180520,3,INDO,20315
20180520,4,INDO,20119
20180520,5,INDO,19706
20180520,6,INDO,19392
20180520,7,INDO,19012
20180520,8,INDO,18795
20180520,9,INDO,18722
20180520,10,INDO,18364
20180520,11,INDO,18169
20180520,12,INDO,18174
20180520,13,INDO,18713
20180520,14,INDO,19171
20180520,15,INDO,19802
20180520,16,INDO,20397
20180520,17,INDO,21372
20180520,18,INDO,21890
20180520,19,INDO,22024
20180520,20,INDO,22065
20180520,21,INDO,21882
20180520,22,INDO,21809
20180520,23,INDO,21710
20180520,24,INDO,21572
20180520,25,INDO,21532
20180520,26,INDO,21189
20180520,27,INDO,20786
20180520,28,INDO,20453
20180520,29,INDO,20256
20180520,30,INDO,20281
20180520,31,INDO,20669
20180520,32,INDO,21263
20180520,33,INDO,22501
20180520,34,INDO,23713
20180520,35,INDO,24767
20180520,36,INDO,25812
20180520,37,INDO,26806
20180520,38,INDO,27550
20180520,39,INDO,28085
20180520,40,INDO,28191
20180520,41,INDO,28223
20180520,42,INDO,28199
20180520,43,INDO,28228
20180520,44,INDO,27836
20180520,45,INDO,27103
20180520,46,INDO,25651
20180520,47,INDO,24007
20180520,48,INDO,22596
20180521,1,INDO,21527
20180521,2,INDO,20998
20180521,3,INDO,20832
20180521,4,INDO,20820
20180521,5,INDO,20690
20180521,6,INDO,20449
20180521,7,INDO,20321
20180521,8,INDO,20242
20180521,9,INDO,20334
20180521,10,INDO,20209
20180521,11,INDO,20674
20180521,12,INDO,21731
20180521,13,INDO,24237
20180521,14,INDO,26591
20180521,15,INDO,29129
20180521,16,INDO,30187
20180521,17,INDO,30120
20180521,18,INDO,29727
20180521,19,INDO,29597
20180521,20,INDO,29513
20180521,21,INDO,29072
20180521,22,INDO,28926
20180521,23,INDO,28736
20180521,24,INDO,28570
20180521,25,INDO,28727
20180521,26,INDO,28601
20180521,27,INDO,28294
20180521,28,INDO,27987
20180521,29,INDO,28202
20180521,30,INDO,28085
20180521,31,INDO,28433
20180521,32,INDO,29325
20180521,33,INDO,30341
20180521,34,INDO,31358
20180521,35,INDO,31994
20180521,36,INDO,31882
20180521,37,INDO,32066
20180521,38,INDO,32333
20180521,39,INDO,32380
20180521,40,INDO,32127
20180521,41,INDO,32045
20180521,42,INDO,31771
20180521,43,INDO,31415
20180521,44,INDO,30754
20180521,45,INDO,29137
20180521,46,INDO,27361
20180521,47,INDO,25479
20180521,48,INDO,23901
20180522,1,INDO,22508
20180522,2,INDO,21647
20180522,3,INDO,21088
20180522,4,INDO,20895
20180522,5,INDO,20569
20180522,6,INDO,20065
20180522,7,INDO,19655
20180522,8,INDO,19424
20180522,9,INDO,19236
20180522,10,INDO,19089
20180522,11,INDO,19416
20180522,12,INDO,20434
20180522,13,INDO,22983
20180522,14,INDO,25455
20180522,15,INDO,27958
20180522,16,INDO,29155
20180522,17,INDO,29503
20180522,18,INDO,29065
20180522,19,INDO,28837
20180522,20,INDO,28207
20180522,21,INDO,27443
20180522,22,INDO,27103
20180522,23,INDO,26862
20180522,24,INDO,26450
20180522,25,INDO,26342
20180522,26,INDO,26201
20180522,27,INDO,25991
20180522,28,INDO,25726
20180522,29,INDO,25554
20180522,30,INDO,25550
20180522,31,INDO,25884
20180522,32,INDO,26690
20180522,33,INDO,27730
20180522,34,INDO,28894
20180522,35,INDO,29784
20180522,36,INDO,30477
20180522,37,INDO,30935
20180522,38,INDO,31267
20180522,39,INDO,31506
20180522,40,INDO,31272
20180522,41,INDO,31041
20180522,42,INDO,30826
20180522,43,INDO,30714
20180522,44,INDO,29951
20180522,45,INDO,28592
20180522,46,INDO,26694
20180522,47,INDO,24707
20180522,48,INDO,23128
20180523,1,INDO,21895
20180523,2,INDO,21179
20180523,3,INDO,20917
20180523,4,INDO,20732
20180523,5,INDO,20521
20180523,6,INDO,20240
20180523,7,INDO,20085
20180523,8,INDO,20027
20180523,9,INDO,20063
20180523,10,INDO,20075
20180523,11,INDO,20448
20180523,12,INDO,21412
20180523,13,INDO,23935
20180523,14,INDO,26455
20180523,15,INDO,29303
20180523,16,INDO,30423
20180523,17,INDO,30954
20180523,18,INDO,30345
20180523,19,INDO,30154
20180523,20,INDO,29839
20180523,21,INDO,29275
20180523,22,INDO,28623
20180523,23,INDO,28218
20180523,24,INDO,28007
20180523,25,INDO,27820
20180523,26,INDO,27372
20180523,27,INDO,26897
20180523,28,INDO,26539
20180523,29,INDO,26360
20180523,30,INDO,26538
20180523,31,INDO,26604
20180523,32,INDO,27463
20180523,33,INDO,28610
20180523,34,INDO,29900
20180523,35,INDO,30710
20180523,36,INDO,31132
20180523,37,INDO,31310
20180523,38,INDO,31521
20180523,39,INDO,31411
20180523,40,INDO,31291
20180523,41,INDO,31195
20180523,42,INDO,30994
20180523,43,INDO,31021
20180523,44,INDO,30431
20180523,45,INDO,29219
20180523,46,INDO,27292
20180523,47,INDO,25103
20180523,48,INDO,23796
20180520,1,ITSDO,22474
20180520,2,ITSDO,21644
20180520,3,ITSDO,21680
20180520,4,ITSDO,21591
20180520,5,ITSDO,21329
20180520,6,ITSDO,21122
20180520,7,ITSDO,20724
20180520,8,ITSDO,20503
20180520,9,ITSDO,20425
20180520,10,ITSDO,20070
20180520,11,ITSDO,19869
20180520,12,ITSDO,19869
20180520,13,ITSDO,20405
20180520,14,ITSDO,20861
20180520,15,ITSDO,21476
20180520,16,ITSDO,21534
20180520,17,ITSDO,21995
20180520,18,ITSDO,22508
20180520,19,ITSDO,22645
20180520,20,ITSDO,22688
20180520,21,ITSDO,22505
20180520,22,ITSDO,22433
20180520,23,ITSDO,22281
20180520,24,ITSDO,22090
20180520,25,ITSDO,22047
20180520,26,ITSDO,21704
20180520,27,ITSDO,21413
20180520,28,ITSDO,21100
20180520,29,ITSDO,20918
20180520,30,ITSDO,20998
20180520,31,ITSDO,21379
20180520,32,ITSDO,21937
20180520,33,ITSDO,23131
20180520,34,ITSDO,24266
20180520,35,ITSDO,25307
20180520,36,ITSDO,26475
20180520,37,ITSDO,27593
20180520,38,ITSDO,28290
20180520,39,ITSDO,28767
20180520,40,ITSDO,28873
20180520,41,ITSDO,28920
20180520,42,ITSDO,28882
20180520,43,ITSDO,28941
20180520,44,ITSDO,28586
20180520,45,ITSDO,27771
20180520,46,ITSDO,26338
20180520,47,ITSDO,25306
20180520,48,ITSDO,23970
20180521,1,ITSDO,23258
20180521,2,ITSDO,22734
20180521,3,ITSDO,22564
20180521,4,ITSDO,22535
20180521,5,ITSDO,22396
20180521,6,ITSDO,22208
20180521,7,ITSDO,22125
20180521,8,ITSDO,22195
20180521,9,ITSDO,22368
20180521,10,ITSDO,22239
20180521,11,ITSDO,22653
20180521,12,ITSDO,23513
20180521,13,ITSDO,25320
20180521,14,ITSDO,27099
20180521,15,ITSDO,29640
20180521,16,ITSDO,30741
20180521,17,ITSDO,30746
20180521,18,ITSDO,30410
20180521,19,ITSDO,30320
20180521,20,ITSDO,30312
20180521,21,ITSDO,29832
20180521,22,ITSDO,29655
20180521,23,ITSDO,29417
20180521,24,ITSDO,29331
20180521,25,ITSDO,29616
20180521,26,ITSDO,29581
20180521,27,ITSDO,29255
20180521,28,ITSDO,28976
20180521,29,ITSDO,29184
20180521,30,ITSDO,29208
20180521,31,ITSDO,29569
20180521,32,ITSDO,30461
20180521,33,ITSDO,31197
20180521,34,ITSDO,32019
20180521,35,ITSDO,32779
20180521,36,ITSDO,32851
20180521,37,ITSDO,33024
20180521,38,ITSDO,33061
20180521,39,ITSDO,33004
20180521,40,ITSDO,32720
20180521,41,ITSDO,32574
20180521,42,ITSDO,32279
20180521,43,ITSDO,31926
20180521,44,ITSDO,31267
20180521,45,ITSDO,29648
20180521,46,ITSDO,27875
20180521,47,ITSDO,26635
20180521,48,ITSDO,25297
20180522,1,ITSDO,24141
20180522,2,ITSDO,23422
20180522,3,ITSDO,22906
20180522,4,ITSDO,22813
20180522,5,ITSDO,22619
20180522,6,ITSDO,22210
20180522,7,ITSDO,21870
20180522,8,ITSDO,21639
20180522,9,ITSDO,21427
20180522,10,ITSDO,21276
20180522,11,ITSDO,21531
20180522,12,ITSDO,22503
20180522,13,ITSDO,24160
20180522,14,ITSDO,26067
20180522,15,ITSDO,28759
20180522,16,ITSDO,29958
20180522,17,ITSDO,30011
20180522,18,ITSDO,29571
20180522,19,ITSDO,29446
20180522,20,ITSDO,29010
20180522,21,ITSDO,28444
20180522,22,ITSDO,28135
20180522,23,ITSDO,27970
20180522,24,ITSDO,27465
20180522,25,ITSDO,27663
20180522,26,ITSDO,27723
20180522,27,ITSDO,27243
20180522,28,ITSDO,26978
20180522,29,ITSDO,26806
20180522,30,ITSDO,26802
20180522,31,ITSDO,27121
20180522,32,ITSDO,27848
20180522,33,ITSDO,28676
20180522,34,ITSDO,29586
20180522,35,ITSDO,30431
20180522,36,ITSDO,31035
20180522,37,ITSDO,31439
20180522,38,ITSDO,31818
20180522,39,ITSDO,32074
20180522,40,ITSDO,31897
20180522,41,ITSDO,31647
20180522,42,ITSDO,31365
20180522,43,ITSDO,31338
20180522,44,ITSDO,30683
20180522,45,ITSDO,29319
20180522,46,ITSDO,27307
20180522,47,ITSDO,25698
20180522,48,ITSDO,24718
20180523,1,ITSDO,23439
20180523,2,ITSDO,22791
20180523,3,ITSDO,22677
20180523,4,ITSDO,22484
20180523,5,ITSDO,22265
20180523,6,ITSDO,21977
20180523,7,ITSDO,21888
20180523,8,ITSDO,21827
20180523,9,ITSDO,21804
20180523,10,ITSDO,21868
20180523,11,ITSDO,22165
20180523,12,ITSDO,22982
20180523,13,ITSDO,24753
20180523,14,ITSDO,26966
20180523,15,ITSDO,29834
20180523,16,ITSDO,31022
20180523,17,ITSDO,31590
20180523,18,ITSDO,31073
20180523,19,ITSDO,30944
20180523,20,ITSDO,30605
20180523,21,ITSDO,30030
20180523,22,ITSDO,29345
20180523,23,ITSDO,28846
20180523,24,ITSDO,28600
20180523,25,ITSDO,28371
20180523,26,ITSDO,27951
20180523,27,ITSDO,27409
20180523,28,ITSDO,27099
20180523,29,ITSDO,26924
20180523,30,ITSDO,27251
20180523,31,ITSDO,27388
20180523,32,ITSDO,28174
20180523,33,ITSDO,29300
20180523,34,ITSDO,30490
