BIOMASS,CCGT,COAL,Date,NPSHYD,NUCLEAR,OCGT,OIL,OTHER,PS,Period,WIND
0,7727,3815,20170101,944,7404,0,0,2123,0,1,3923
0,8338,3815,20170101,909,7403,0,0,2124,16,2,3658
0,7927,3801,20170101,864,7408,0,0,2122,0,3,3925
0,6996,3803,20170101,863,7407,0,0,2122,0,4,4393
0,6897,3705,20170101,860,7316,0,0,2121,0,5,4418
0,6580,3380,20170101,846,7193,0,0,2121,0,6,4329
0,5897,3285,20170101,841,7172,0,0,2123,0,7,4442
0,5363,3137,20170101,832,7175,0,0,2122,0,8,4692
0,5584,2835,20170101,828,7167,0,0,2123,0,9,4944
0,5670,2613,20170101,829,7178,0,0,2120,0,10,4807
0,5580,2708,20170101,859,7181,0,0,2122,0,11,4827
0,5263,2830,20170101,859,7199,0,0,2123,0,12,4884
0,5546,2991,20170101,857,7318,0,0,2124,0,13,4697
0,5498,3116,20170101,861,7404,0,0,2124,0,14,4556
0,5601,3039,20170101,953,7405,0,0,2124,0,15,4764
0,5173,2433,20170101,890,7409,0,0,2125,36,16,5116
0,5237,2495,20170101,862,7414,0,0,2123,320,17,4881
0,5555,2908,20170101,861,7419,0,0,2124,408,18,4972
0,6485,2945,20170101,867,7427,0,0,2124,408,19,4996
0,7624,2996,20170101,869,7427,0,0,2124,332,20,5220
0,7767,2955,20170101,926,7415,0,0,2118,336,21,5841
0,8843,2860,20170101,912,7412,0,0,2121,372,22,6016
0,10088,2899,20170101,945,7410,0,0,2128,416,23,5741
0,10618,3298,20170101,939,7408,0,0,2127,334,24,5939
0,10990,3572,20170101,996,7406,0,0,2126,350,25,6237
0,11178,3780,20170101,993,7411,0,0,2125,340,26,6325
0,11298,3856,20170101,998,7411,0,0,2127,398,27,6223
0,11430,3943,20170101,1001,7411,0,0,2126,396,28,5952
0,11511,4253,20170101,1032,7405,0,0,2128,380,29,5675
0,11823,4320,20170101,1035,7404,0,0,2126,416,30,5331
0,12371,4309,20170101,1116,7397,0,0,2128,358,31,5063
0,13067,4375,20170101,1081,7295,0,0,2128,366,32,5205
0,14467,4637,20170101,1058,7189,0,0,2129,344,33,5427
0,15023,4671,20170101,1080,7178,0,0,2129,614,34,5922
0,15472,4729,20170101,1119,7182,0,0,2128,808,35,5449
0,15311,4778,20170101,1162,7181,0,0,2131,646,36,5617
0,14684,4473,20170101,1254,7186,0,0,2130,710,37,5869
0,14258,4315,20170101,1242,7185,0,0,2130,430,38,5886
0,15071,4284,20170101,1205,7184,0,0,2129,502,39,5802
0,14676,4072,20170101,1203,7192,0,0,2129,380,40,5611
0,13637,3497,20170101,1092,7262,0,0,2130,596,41,5525
0,13085,3309,20170101,1077,7392,0,0,2132,650,42,5153
0,12485,3312,20170101,976,7415,0,0,2126,366,43,5225
0,11589,3314,20170101,935,7415,0,0,2123,380,44,4899
0,11207,3316,20170101,935,7415,0,0,2122,674,45,4504
0,10735,3315,20170101,917,7420,0,0,2126,426,46,4195
0,9804,3305,20170101,772,7419,0,0,2124,0,47,4031
0,9158,3279,20170101,768,7416,0,0,2122,0,48,3884
0,8548,3182,20170102,767,7424,0,0,2120,0,1,3644
0,8616,3301,20170102,769,7419,0,0,2118,0,2,3604
0,8142,3298,20170102,767,7425,0,0,2126,0,3,3681
0,7677,3280,20170102,662,7424,0,0,2122,0,4,3861
0,7441,3291,20170102,656,7418,0,0,2127,0,5,3924
0,7531,3145,20170102,652,7417,0,0,2103,0,6,3897
0,7844,3049,20170102,652,7435,0,0,2094,0,7,3850
0,7473,3055,20170102,653,7507,0,0,2133,0,8,3756
0,7726,3053,20170102,640,7510,0,0,2131,0,9,3595
0,7870,3055,20170102,639,7508,0,0,2130,0,10,3444
0,8409,3049,20170102,634,7514,0,0,2130,0,11,3342
0,8707,3082,20170102,631,7518,0,0,2129,0,12,3327
0,9285,3283,20170102,628,7567,0,0,2130,0,13,3334
0,9550,3430,20170102,657,7577,0,0,2126,0,14,3536
0,10475,3539,20170102,858,7574,0,0,2127,0,15,3633
0,11284,3553,20170102,858,7572,0,0,2126,0,16,3494
0,12627,3553,20170102,857,7571,0,0,2127,288,17,3149
0,13860,3546,20170102,858,7572,0,0,2127,368,18,3245
0,15050,3543,20170102,1029,7568,0,0,2127,396,19,3059
0,16026,3565,20170102,1048,7553,0,0,2126,332,20,2882
0,16447,3697,20170102,1051,7547,0,0,2124,348,21,2759
0,16733,3779,20170102,1022,7552,0,0,2129,350,22,2550
0,16793,3800,20170102,1097,7559,0,0,2120,356,23,2471
0,16863,3837,20170102,1100,7562,0,0,2120,370,24,2537
0,16813,3866,20170102,1045,7560,0,0,2125,428,25,2726
0,16775,3965,20170102,1029,7561,0,0,2085,348,26,2844
0,16711,4124,20170102,908,7556,0,0,2071,384,27,2892
0,16734,4162,20170102,907,7562,0,0,2073,358,28,3051
0,16950,4139,20170102,911,7562,0,0,2081,384,29,3236
0,17425,4331,20170102,951,7561,0,0,2071,366,30,3318
0,18418,4461,20170102,959,7561,0,0,2072,422,31,3316
0,19543,4816,20170102,966,7565,0,0,2107,360,32,3305
0,20595,5082,20170102,1019,7568,0,0,2122,434,33,3299
0,22252,5441,20170102,1266,7583,0,0,2099,1426,34,3229
0,22436,5454,20170102,1276,7605,0,0,2101,1852,35,3099
0,23114,5504,20170102,1276,7622,0,0,2122,1424,36,3081
0,23140,5545,20170102,1264,7627,0,0,2118,880,37,3060
0,22983,5532,20170102,1233,7631,0,0,2125,420,38,3042
0,22475,5505,20170102,1125,7628,0,0,2126,1112,39,3101
0,21750,5432,20170102,1111,7625,0,0,2128,614,40,3221
0,20593,5432,20170102,978,7623,0,0,2120,374,41,3381
0,19565,5268,20170102,936,7623,0,0,2101,424,42,3361
0,18703,4700,20170102,858,7621,0,0,2113,408,43,3465
0,17239,3911,20170102,821,7619,0,0,2110,356,44,3685
0,16154,3267,20170102,838,7622,0,0,2096,388,45,3828
0,14386,3180,20170102,832,7625,0,0,2095,288,46,3950
0,11958,3302,20170102,724,7626,0,0,2056,26,47,4002
0,10473,3219,20170102,724,7629,0,0,2034,18,48,4260
0,9776,3288,20170103,721,7632,0,0,2107,0,1,4337
0,9898,3308,20170103,716,7634,0,0,2123,0,2,4689
