Date,Period,dump_date,runtype,value
20170101,1,20161231234500,DANF,28400
20170101,2,20170101001500,DANF,27700
20170101,3,20170101004500,DANF,27625
20170101,4,20170101011500,DANF,26624
20170101,5,20170101014600,DANF,25558
20170101,6,20170101021500,DANF,25112
20170101,7,20170101024500,DANF,24191
20170101,8,20170101031500,DANF,23220
20170101,9,20170101034500,DANF,22467
20170101,10,20170101041600,DANF,22188
20170101,11,20170101044600,DANF,22020
20170101,12,20170101051600,DANF,22000
20170101,13,20170101054500,DANF,22507
20170101,14,20170101061500,DANF,22812
20170101,15,20170101064500,DANF,23269
20170101,16,20170101071500,DANF,23278
20170101,17,20170101074500,DANF,23833
20170101,18,20170101081500,DANF,24900
20170101,19,20170101081500,DANF,26415
20170101,20,20170101091500,DANF,28021
20170101,21,20170101094600,DANF,29800
20170101,22,20170101101500,DANF,30972
20170101,23,20170101104500,DANF,31610
20170101,24,20170101111500,DANF,32493
20170101,25,20170101114500,DANF,33194
20170101,26,20170101121500,DANF,32800
20170101,27,20170101124600,DANF,32911
20170101,28,20170101131600,DANF,32900
20170101,29,20170101134500,DANF,32900
20170101,30,20170101141500,DANF,33028
20170101,31,20170101144500,DANF,33465
20170101,32,20170101151500,DANF,34228
20170101,33,20170101154500,DANF,35835
20170101,34,20170101161500,DANF,37272
20170101,35,20170101164500,DANF,38000
20170101,36,20170101171600,DANF,37648
20170101,37,20170101174500,DANF,37017
20170101,38,20170101181500,DANF,36243
20170101,39,20170101184500,DANF,35279
20170101,40,20170101191500,DANF,34494
20170101,41,20170101194500,DANF,33622
20170101,42,20170101201500,DANF,32400
20170101,43,20170101204500,DANF,31171
20170101,44,20170101211500,DANF,30043
20170101,45,20170101214500,DANF,28978
20170101,46,20170101221600,DANF,28114
20170101,47,20170101224500,DANF,26451
20170101,48,20170101231500,DANF,25500
20170102,1,20170101234600,DANF,25900
20170102,2,20170102001500,DANF,26200
20170102,3,20170102004500,DANF,25699
20170102,4,20170102011500,DANF,24987
20170102,5,20170102014500,DANF,24266
20170102,6,20170102021500,DANF,24108
20170102,7,20170102024500,DANF,23340
20170102,8,20170102031500,DANF,22763
20170102,9,20170102034500,DANF,22273
20170102,10,20170102041600,DANF,22200
20170102,11,20170102044500,DANF,22201
20170102,12,20170102051500,DANF,22657
20170102,13,20170102054500,DANF,24017
20170102,14,20170102061500,DANF,25786
20170102,15,20170102064500,DANF,26553
20170102,16,20170102071500,DANF,26963
20170102,17,20170102074500,DANF,27977
20170102,18,20170102081500,DANF,29400
20170102,19,20170102081500,DANF,30955
20170102,20,20170102091500,DANF,32244
20170102,21,20170102094500,DANF,33300
20170102,22,20170102101500,DANF,33924
20170102,23,20170102104600,DANF,34334
20170102,24,20170102111500,DANF,34768
20170102,25,20170102114500,DANF,35000
20170102,26,20170102121600,DANF,34945
20170102,27,20170102124600,DANF,33600
20170102,28,20170102131600,DANF,33706
20170102,29,20170102134600,DANF,34296
20170102,30,20170102141500,DANF,34871
20170102,31,20170102144500,DANF,35871
20170102,32,20170102151500,DANF,37190
20170102,33,20170102154500,DANF,39527
20170102,34,20170102161500,DANF,42410
20170102,35,20170102164500,DANF,43600
20170102,36,20170102171500,DANF,43594
20170102,37,20170102174600,DANF,43018
20170102,38,20170102181500,DANF,42871
20170102,39,20170102184500,DANF,41621
20170102,40,20170102191600,DANF,40489
20170102,41,20170102194600,DANF,39179
20170102,42,20170102201500,DANF,37700
20170102,43,20170102204600,DANF,36500
20170102,44,20170102211500,DANF,34844
20170102,45,20170102214500,DANF,33521
20170102,46,20170102221500,DANF,31979
20170102,47,20170102224500,DANF,30131
20170102,48,20170102231500,DANF,29000
20170103,1,20170102234500,DANF,28900
20170103,2,20170103001500,DANF,28700
20170103,3,20170103004500,DANF,28481
20170103,4,20170103011500,DANF,27334
20170103,5,20170103014500,DANF,26844
20170103,6,20170103021500,DANF,26689
20170103,7,20170103024500,DANF,26283
20170103,8,20170103031500,DANF,25853
20170103,9,20170103034500,DANF,25700
20170103,10,20170103041500,DANF,25600
20170103,11,20170103044600,DANF,26076
20170103,12,20170103051600,DANF,27104
20170103,13,20170103054500,DANF,30262
20170103,14,20170103061500,DANF,33144
20170103,15,20170103064600,DANF,36425
20170103,16,20170103071500,DANF,37915
20170103,17,20170103074600,DANF,39176
20170103,18,20170103081500,DANF,39700
20170103,19,20170103081500,DANF,40670
20170103,20,20170103091600,DANF,41042
20170103,21,20170103094500,DANF,41300
20170103,22,20170103101500,DANF,41160
20170103,23,20170103104500,DANF,41017
20170103,24,20170103111600,DANF,41021
20170103,25,20170103114500,DANF,41200
20170103,26,20170103121500,DANF,41057
20170103,27,20170103124600,DANF,41500
20170103,28,20170103131500,DANF,41513
20170103,29,20170103134600,DANF,41861
20170103,30,20170103141600,DANF,42069
20170103,31,20170103144500,DANF,42380
20170103,32,20170103151600,DANF,43567
20170103,33,20170103154600,DANF,45407
20170103,34,20170103161600,DANF,47212
20170103,35,20170103164500,DANF,46936
20170103,36,20170103171500,DANF,46858
20170103,37,20170103174500,DANF,47000
20170103,38,20170103181500,DANF,46485
20170103,39,20170103184500,DANF,44149
20170103,40,20170103191600,DANF,42727
20170103,41,20170103194500,DANF,40998
20170103,42,20170103201500,DANF,39000
20170103,43,20170103204500,DANF,37387
20170103,44,20170103211600,DANF,35495
20170103,45,20170103214500,DANF,33626
20170103,46,20170103221500,DANF,31833
20170103,47,20170103224500,DANF,29662
20170103,48,20170103231500,DANF,28400
20170104,1,20170103234500,DANF,28000
20170104,2,20170104001500,DANF,28300
20170104,3,20170104004500,DANF,27891
20170104,4,20170104011500,DANF,26534
