Date,Period,Runtype,value
20180520,1,DANF,21700
20180520,2,DANF,20979
20180520,3,DANF,20500
20180520,4,DANF,20400
20180520,5,DANF,19938
20180520,6,DANF,19495
20180520,7,DANF,19279
20180520,8,DANF,19137
20180520,9,DANF,18992
20180520,10,DANF,18873
20180520,11,DANF,18639
20180520,12,DANF,18500
20180520,13,DANF,18923
20180520,14,DANF,19352
20180520,15,DANF,20112
20180520,16,DANF,20683
20180520,17,DANF,21394
20180520,18,DANF,20500
20180520,19,DANF,21995
20180520,20,DANF,22000
20180520,21,DANF,21926
20180520,22,DANF,21600
20180520,23,DANF,21339
20180520,24,DANF,21411
20180520,25,DANF,21309
20180520,26,DANF,21129
20180520,27,DANF,20811
20180520,28,DANF,20626
20180520,29,DANF,20418
20180520,30,DANF,20400
20180520,31,DANF,20587
20180520,32,DANF,20953
20180520,33,DANF,21758
20180520,34,DANF,22735
20180520,35,DANF,24057
20180520,36,DANF,24969
20180520,37,DANF,25804
20180520,38,DANF,26615
20180520,39,DANF,27100
20180520,40,DANF,27200
20180520,41,DANF,27303
20180520,42,DANF,27664
20180520,43,DANF,28200
20180520,44,DANF,27586
20180520,45,DANF,26747
20180520,46,DANF,25480
20180520,47,DANF,23803
20180520,48,DANF,22400
20180521,1,DANF,21300
20180521,2,DANF,21174
20180521,3,DANF,20900
20180521,4,DANF,20700
20180521,5,DANF,20322
20180521,6,DANF,19889
20180521,7,DANF,19614
20180521,8,DANF,19431
20180521,9,DANF,20119
20180521,10,DANF,20100
20180521,11,DANF,20402
20180521,12,DANF,21393
20180521,13,DANF,24227
20180521,14,DANF,26661
20180521,15,DANF,29359
20180521,16,DANF,30368
20180521,17,DANF,30400
20180521,18,DANF,29919
20180521,19,DANF,29700
20180521,20,DANF,29391
20180521,21,DANF,28898
20180521,22,DANF,28600
20180521,23,DANF,28343
20180521,24,DANF,28086
20180521,25,DANF,28017
20180521,26,DANF,27820
20180521,27,DANF,27536
20180521,28,DANF,27308
20180521,29,DANF,27293
20180521,30,DANF,27200
20180521,31,DANF,27213
20180521,32,DANF,27717
20180521,33,DANF,28636
20180521,34,DANF,29638
20180521,35,DANF,30501
20180521,36,DANF,31050
20180521,37,DANF,31348
20180521,38,DANF,31733
20180521,39,DANF,31900
20180521,40,DANF,31845
20180521,41,DANF,31600
20180521,42,DANF,31340
20180521,43,DANF,31500
20180521,44,DANF,30827
20180521,45,DANF,29296
20180521,46,DANF,27341
20180521,47,DANF,25484
20180521,48,DANF,24000
20180522,1,DANF,22600
20180522,2,DANF,21891
20180522,3,DANF,21600
20180522,4,DANF,21600
20180522,5,DANF,21264
20180522,6,DANF,20987
20180522,7,DANF,20534
20180522,8,DANF,20026
20180522,9,DANF,19909
