Date,Record,Unit,Value1,Value2,Value3,Value4,Value5
20180903052500,RURE,2__AANGE001,999.0,6,999.0,7,999.0
20170801110000,RURE,2__AEENG000,10.0,,,,
20170801110000,RURE,2__CEENG000,10.0,,,,
20170801110000,RURE,2__DEENG000,10.0,,,,
20180924201000,RURE,2__DPGEN001,5.6,,,,
20171107120000,RURE,2__FMAGN000,10.0,,,,
20170801110000,RURE,2__GEENG000,10.0,,,,
20170801110000,RURE,2__HEENG000,10.0,,,,
20170801110000,RURE,2__JEENG000,10.0,,,,
20140305120000,RURE,2__JVETS000,10.0,,,,
20170801110000,RURE,2__KEENG000,10.0,,,,
20170801110000,RURE,2__LEENG000,10.0,,,,
20180925102500,RURE,2__MPGEN001,8.0,,,,
20180925094200,RURE,2__MPGEN002,8.0,,,,
20170801161700,RURE,2__PPGEN003,225.0,30,225.0,40,225.0
20140408122300,RURE,2__PSTAT001,15.0,,,,
20130514075100,RURE,E_BABAW-1,999.0,,,,
20160823111000,RURE,E_BETHW-1,30.0,,,,
20131028115100,RURE,E_BRGG-1,15.0,,,,
20171011130800,RURE,E_BRYP-1,999.0,15,10.0,,
20160823111000,RURE,E_BTUIW-2,44.0,,,,
20180417054500,RURE,E_BURBO,90.0,1,90.0,10,90.0
20090401140100,RURE,E_CLAC-1,40.0,10,40.0,40,40.0
20160823111100,RURE,E_CLFLW-1,15.0,,,,
20180428195200,RURE,E_CORB-1,20.0,50,20.0,100,20.0
20180331225800,RURE,E_COWE1,24.0,,,,
20180331225800,RURE,E_COWE2,24.0,,,,
20010322162400,RURE,E_CWMD-1,5.0,,,,
20010319114500,RURE,E_DERW-1,2.0,137,2.0,181,2.0
20161031005800,RURE,E_DIDC1G,25.0,,,,
20161031005800,RURE,E_DIDC2G,25.0,,,,
20161031005800,RURE,E_DIDC3G,25.0,,,,
20161031005800,RURE,E_DIDC4G,25.0,,,,
20051122084900,RURE,E_FASN-3,6.0,7,6.0,22,6.0
20170308132300,RURE,E_FAWN-1,3.0,50,3.0,75,3.0
20020312150600,RURE,E_FELL-1,3.5,40,3.5,135,1.0
20170331110900,RURE,E_GLOFW-1,26.0,,,,
20180707070400,RURE,E_GYAR-1,0.4,90,4.0,220,11.0
20170314155500,RURE,E_HBHDW-1,52.0,,,,
20130514081500,RURE,E_HLTWW-1,999.0,,,,
20170810153800,RURE,E_HRHLW-1,15.0,,,,
20120323215400,RURE,E_KLYN-A-1,2.0,70,0.2,81,6.0
20180427134900,RURE,E_LCHWT-1,4.0,,,,
20180427134800,RURE,E_LSTWY-1,6.0,,,,
20010326110000,RURE,E_MANXENR-1,10.0,,,,
20180316074900,RURE,E_MARK-1,2.0,30,0.2,,
20130329123600,RURE,E_PETEM1,30.0,,,,
20180427134800,RURE,E_RDFRB-1,10.0,,,,
20180427134700,RURE,E_RDFRD-1,10.0,,,,
20180530120700,RURE,E_SEVINGTN,2.0,4,5.0,5,3.0
20180906213700,RURE,E_SHOS-1,0.9,110,0.2,120,11.0
20180626131300,RURE,E_TAYL2G,15.0,,,,
20180626131700,RURE,E_TAYL3G,15.0,,,,
20180427134700,RURE,E_TDRVE-1,3.0,,,,
20180427135000,RURE,E_WTRLN-1,9.0,,,,
20010410110000,RURE,I_IFD-ELEE1,10.0,,,,
20010319120000,RURE,I_IFD-INNE1,10.0,,,,
20010319120000,RURE,I_IFG-INNE1,10.0,,,,
20121228111900,RURE,I_IID-ELTR1,10.0,,,,
20121228112000,RURE,I_IIG-ELTR1,10.0,,,,
20120512204200,RURE,M_CAS-BEU01,5.0,42,5.0,97,5.0
20100605204000,RURE,M_CAS-CLU01,1.0,4,3.0,22,4.0
20170212144200,RURE,M_CAS-CON01,1.0,31,1.0,85,1.0
20050401021100,RURE,M_CAS-GAR01,3.0,23,3.0,38,3.0
20050401023900,RURE,M_CAS-KIL01,4.0,14,4.0,60,4.0
20050401013500,RURE,M_CAS-MOR01,5.0,50,5.0,72,5.0
20070214104600,RURE,M_SLOY-1,12.0,,,,
20050331230200,RURE,M_SLOY-4,10.0,3,10.0,30,10.0
20180925105900,RURE,T_ABTH7,0.2,24,2.0,100,5.0
20170331225800,RURE,T_ABTH7G,9.0,10,9.0,,
20180308171500,RURE,T_ABTH8,0.5,50,1.0,100,5.0
20170331225800,RURE,T_ABTH8G,9.0,10,9.0,,
20180915044300,RURE,T_ABTH9,0.5,50,1.0,100,5.0
20170331225800,RURE,T_ABTH9G,9.0,10,9.0,,
20130719110200,RURE,T_ANSUW-1,5.0,,,,
20160823110900,RURE,T_ARCHW-1,114.0,,,,
20180915134200,RURE,T_BAGE-1,0.2,12,0.3,60,2.3
20160419104200,RURE,T_BAGE-2,10.0,,,,
20140401080900,RURE,T_BARK-1,0.8,60,1.0,84,8.2
20140726154000,RURE,T_BARKB2,1.3,143,6.8,401,11.6
20170811104000,RURE,T_BHLAW-1,100.0,,,,
20160823111000,RURE,T_BLLA-1,118.0,,,,
20160823111000,RURE,T_BLLA-2,30.0,,,,
20180417054300,RURE,T_BOWLW-1,90.0,1,90.0,63,90.0
20180417054700,RURE,T_BRBEO-1,258.0,1,258.0,180,258.0
20180925150800,RURE,T_CARR-1,15.7,173,0.3,177,28.0
20180918094800,RURE,T_CARR-2,0.7,13,0.4,60,10.8
20180925155600,RURE,T_CDCL-1,30.0,100,1.3,104,35.0
20161216150200,RURE,T_CGTHW-1,28.0,,,,
20140821152000,RURE,T_CLDCW-1,100.0,,,,
20140821152100,RURE,T_CLDNW-1,100.0,,,,
20140821152200,RURE,T_CLDSW-1,100.0,,,,
20180924193600,RURE,T_CNQPS-1,15.0,155,0.2,159,15.0
20180826014100,RURE,T_CNQPS-2,15.0,45,0.4,69,3.2
20180825095400,RURE,T_CNQPS-3,15.0,45,0.4,69,3.2
20180926034400,RURE,T_CNQPS-4,15.0,73,0.2,80,6.6
20180925000500,RURE,T_COSO-1,2.0,46,0.2,50,14.0
20180922181200,RURE,T_COTPS-1,10.0,214,0.5,220,7.0
20180913211000,RURE,T_COTPS-2,10.0,214,0.5,220,10.0
20180922224500,RURE,T_COTPS-3,10.0,214,10.0,220,10.0
20180922224400,RURE,T_COTPS-4,10.0,214,0.2,220,7.0
20130524135000,RURE,T_CRGHW-1,50.0,,,,
20171215162400,RURE,T_CRMLW-1,47.5,,,,
20110801120400,RURE,T_CRUA-1,480.0,,,,
20110809030700,RURE,T_CRUA-2,480.0,,,,
20060108172500,RURE,T_CRUA-3,480.0,,,,
20051228103900,RURE,T_CRUA-4,480.0,,,,
20130514080400,RURE,T_CRYRW-2,999.0,,,,
20180922085900,RURE,T_DAMC-1,25.0,255,0.2,260,10.0
20180331154500,RURE,T_DEEP-1,24.0,370,30.0,475,5.0
20180924102200,RURE,T_DIDCB5,5.1,355,25.0,680,3.0
20180926040700,RURE,T_DIDCB6,4.1,350,24.0,630,3.0
20180924080400,RURE,T_DIDCB6,5.2,360,24.0,630,3.0
