MDP,MDV,MNZT,MZT,NDB,NDO,NDZ,RDR1,RDR2,RDR3,RDelbow2,RDelbow3,RUR1,RUR2,RUR3,RUelbow2,RUelbow3,SEL,SIL,bmUnitID,company,dump_date,unit,unit_dynamic_type,unit_type
,,,,,,,,,,,,999.0,999.0,999.0,6,7,,,2__AANGE001,Limejump Energy Limited,2018-09-03 05:25:00,AG-ALIM02,RURE,S
,,,,,,,,,,,,10.0,,,,,,,2__AEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,EAS-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__CEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,LON-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__DEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,MNW-EST01,RURE,G
,,,,,,,,,,,,5.6,,,,,,,2__DPGEN001,E.ON UK plc,2018-10-14 13:47:00,MNW-PGU02,RURE,S
,,,,,,,,,,,,999.0,999.0,999.0,20,21,,,2__EANGE001,Limejump Energy Limited,2018-10-01 05:17:00,AG-ELIM02,RURE,S
,,,,,,,,,,,,10.0,,,,,,,2__FMAGN000,DONG Energy Power Sales UK Ltd,2017-11-07 12:00:00,NEE-DON01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__GEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,NWP-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__HEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,STH-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__JEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,SEE-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__JVETS000,Vattenfall Energy Trading,2014-03-05 12:00:00,SEE-VTF01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__KEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,SWA-EST01,RURE,G
,,,,,,,,,,,,10.0,,,,,,,2__LEENG000,E.ON Energy Solutions Limited,2017-08-01 11:00:00,SWT-EST01,RURE,G
,,,,,,,,,,,,8.0,,,,,,,2__MPGEN001,E.ON UK plc,2018-10-14 13:42:00,YEP-PGU03,RURE,S
