acceptance_id,acceptance_time,bmunitid,bo_flag,company,end_time,rr_instruction_flag,rr_schedule_flag,runtype,so_flag,start_time,stor_flag,unit,unit_type,value_from,value_to
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 00:30:00,,,PN,,2019-12-27 00:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 01:00:00,,,PN,,2019-12-27 00:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 01:30:00,,,PN,,2019-12-27 01:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 02:00:00,,,PN,,2019-12-27 01:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 02:30:00,,,PN,,2019-12-27 02:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 03:00:00,,,PN,,2019-12-27 02:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 03:30:00,,,PN,,2019-12-27 03:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 04:00:00,,,PN,,2019-12-27 03:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 04:30:00,,,PN,,2019-12-27 04:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 05:00:00,,,PN,,2019-12-27 04:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 05:30:00,,,PN,,2019-12-27 05:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 06:00:00,,,PN,,2019-12-27 05:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 06:30:00,,,PN,,2019-12-27 06:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 07:00:00,,,PN,,2019-12-27 06:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 07:30:00,,,PN,,2019-12-27 07:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 08:00:00,,,PN,,2019-12-27 07:30:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 08:30:00,,,PN,,2019-12-27 08:00:00,,STAY-3,T,0.000,0.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 08:48:00,,,PN,,2019-12-27 08:30:00,,STAY-3,T,3.000,45.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 09:00:00,,,PN,,2019-12-27 08:48:00,,STAY-3,T,45.000,87.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 09:05:00,,,PN,,2019-12-27 09:00:00,,STAY-3,T,87.000,105.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 09:24:00,,,PN,,2019-12-27 09:05:00,,STAY-3,T,105.000,434.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 09:30:00,,,PN,,2019-12-27 09:24:00,,STAY-3,T,434.000,434.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 10:00:00,,,PN,,2019-12-27 09:30:00,,STAY-3,T,433.000,433.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 10:30:00,,,PN,,2019-12-27 10:00:00,,STAY-3,T,433.000,433.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 11:00:00,,,PN,,2019-12-27 10:30:00,,STAY-3,T,433.000,433.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 11:30:00,,,PN,,2019-12-27 11:00:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 12:00:00,,,PN,,2019-12-27 11:30:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 12:30:00,,,PN,,2019-12-27 12:00:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 13:00:00,,,PN,,2019-12-27 12:30:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 13:30:00,,,PN,,2019-12-27 13:00:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 14:00:00,,,PN,,2019-12-27 13:30:00,,STAY-3,T,428.000,428.000
,,T_STAY-3,,RWE Generation UK plc,2019-12-27 14:30:00,,,PN,,2019-12-27 14:00:00,,STAY-3,T,429.000,429.000
