Belgium,Date,France,Ireland,Netherlands,Northern_Ireland,Period
,20181111,1802,-8,902,-118,1
,20181111,1800,0,900,-22,2
,20181111,1802,0,902,-74,3
,20181111,1800,0,900,-146,4
,20181111,1704,0,714,-296,5
,20181111,1704,0,710,-366,6
,20181111,1704,0,710,-334,7
,20181111,1704,-4,710,-348,8
,20181111,1704,-96,710,-384,9
,20181111,1704,-88,710,-408,10
,20181111,1704,-198,710,-258,11
,20181111,1704,-78,710,-96,12
,20181111,1704,32,710,84,13
,20181111,1702,34,710,90,14
,20181111,1898,-70,756,-30,15
,20181111,1898,-160,758,40,16
,20181111,1998,-34,996,16,17
,20181111,1998,0,1000,68,18
,20181111,1998,36,1058,216,19
,20181111,1998,32,1058,270,20
,20181111,1998,20,1056,270,21
,20181111,1998,40,1058,270,22
,20181111,1998,130,670,244,23
,20181111,1998,198,658,198,24
,20181111,1998,272,744,206,25
,20181111,1998,308,748,218,26
,20181111,1998,456,982,230,27
,20181111,1998,504,988,242,28
,20181111,1998,504,850,270,29
,20181111,1998,462,848,270,30
,20181111,1998,316,640,270,31
,20181111,1998,328,636,270,32
,20181111,1998,470,792,270,33
,20181111,1998,450,792,264,34
,20181111,1998,288,1014,138,35
,20181111,1998,210,1018,98,36
,20181111,1998,64,884,216,37
,20181111,1998,74,882,202,38
,20181111,1998,214,700,212,39
,20181111,1998,272,696,270,40
,20181111,1998,344,780,210,41
,20181111,2000,346,782,206,42
,20181111,1564,334,754,270,43
,20181111,1610,268,754,270,44
,20181111,528,418,322,260,45
,20181111,510,408,314,150,46
,20181111,1580,330,686,144,47
,20181111,1604,288,698,168,48
,20181112,1554,438,690,168,1
,20181112,1554,504,690,168,2
,20181112,1554,504,712,168,3
,20181112,1554,504,712,118,4
,20181112,1554,504,712,166,5
,20181112,1554,504,712,148,6
,20181112,1564,486,696,150,7
,20181112,1564,484,696,126,8
,20181112,1428,504,658,140,9
,20181112,1424,504,638,138,10
,20181112,1538,504,116,170,11
,20181112,1530,504,110,170,12
,20181112,1998,504,576,170,13
,20181112,1974,464,602,170,14
,20181112,314,304,0,170,15
,20181112,288,212,0,168,16
,20181112,898,62,-570,76,17
,20181112,920,0,-654,40,18
,20181112,630,0,-872,-88,19
,20181112,666,0,-876,-100,20
,20181112,-258,0,-1068,-92,21
,20181112,-266,0,-1072,-84,22
,20181112,-268,0,-1016,-94,23
,20181112,-266,0,-1012,-116,24
,20181112,-552,0,-624,-170,25
,20181112,-544,0,-612,-94,26
,20181112,-1792,0,-278,42,27
,20181112,-1806,0,-270,66,28
,20181112,-1632,0,-380,42,29
,20181112,-1622,0,-392,34,30
,20181112,96,0,-932,-86,31
,20181112,150,36,-946,-148,32
,20181112,1814,-32,-568,-286,33
,20181112,2000,-66,-558,-286,34
